cms_certification_number_ccn,facility_name,address_line_1,address_line_2,city,state,zip_code,county_name,phone_number,cms_region,measure_code,measure_name,score,footnote,start_date,end_date
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_001_01_DENOMINATOR,,2392,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_001_01_OBSERVED,Hospice and Palliative Care Treatment Preferences,100.0,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_002_01_DENOMINATOR,,2392,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_002_01_OBSERVED,Beliefs & Values Addressed (if desired by the patient),99.5,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_003_01_DENOMINATOR,,2392,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_003_01_OBSERVED,Hospice and Palliative Care Pain Screening,99.2,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_004_01_DENOMINATOR,,922,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_004_01_OBSERVED,Hospice and Palliative Care Pain Assessment,98.4,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_005_01_DENOMINATOR,,2392,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_005_01_OBSERVED,Hospice and Palliative Care Dyspnea Screening,99.5,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_006_01_DENOMINATOR,,1204,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_006_01_OBSERVED,Hospice and Palliative Care Dyspnea Treatment,100.0,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_007_01_DENOMINATOR,,490,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_007_01_OBSERVED,Patient Treated with an Opioid Who Are Given a Bowel Regimen,99.6,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_008_01_DENOMINATOR,,2392,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_008_01_OBSERVED,Hospice and Palliative Care Composite Process Measure,97.9,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_009_01_DENOMINATOR,,2024,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,H_009_01_OBSERVED,"Hospice Visits When Death Is Imminent, Measure 1",82.3,,07/01/2020,03/31/2021
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Average_Daily_Census,Average Daily Census,509.0,,01/01/2018,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Provided_Home_Care_and_other,Provided Routine Home Care and other levels of care,Yes,,01/01/2016,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Provided_Home_Care_only,Provided Routine Home Care only,No,,01/01/2016,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Pct_Pts_w_Cancer,Percent of Patients with Cancer,30,,01/01/2018,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Pct_Pts_w_Dementia,Percent of Patients with Dementia,20,,01/01/2018,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Pct_Pts_w_Stroke,Percent of Patients with Stroke,0,14,01/01/2018,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Pct_Pts_w_Circ_Heart_Disease,Percent of Patients with Circulatory/heart disease,10,,01/01/2018,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Pct_Pts_w_Resp_Disease,Percent of Patients with Respiratory disease,0,14,01/01/2018,12/31/2018
"=""331532""","HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,,WOODBURY,NY,"=""11797""",Nassau,(516) 832-7100,2,Pct_Pts_w_other_conditions,Percent of Patients with Other Conditions,0,14,01/01/2018,12/31/2018
